Did_Poke1_Win,Hp_diff,Attack_diff,Defense_diff,Sp_Attack_diff,Sp_Defense_diff,Speed_diff
0,-60,-20,0,-70,-70,-80
0,-20,-30,-35,-20,20,0
0,-60,-60,-65,-50,0,-30
0,-20,5,-35,0,-30,-30
0,-35,-10,-50,-15,-55,-45
0,-50,-25,-65,-30,-70,-60
0,-10,30,-20,-35,-15,-45
0,-20,0,-30,-50,-40,-55
0,-30,-20,-50,-65,-65,-65
0,-45,-50,-55,35,-5,20
0,-60,-65,-70,20,-30,5
0,-75,-80,-85,5,-45,-10
0,-10,-5,-5,-30,-10,-30
0,-35,-35,-35,-50,-50,-10
0,-60,-50,-60,-60,-60,-10
0,-10,10,-20,0,-20,-5
0,-45,-30,-55,-30,-50,-40
0,-35,5,-40,-40,-30,-5
0,-60,-20,-65,-65,-55,-30
0,-20,-18,-22,-5,-20,-15
0,-50,-48,-52,-35,-50,-45
0,-35,-30,-40,-35,-35,15
0,-60,-55,-65,-60,-60,-10
0,-65,0,-50,-50,-30,20
0,-90,-45,-75,-65,-55,-5
0,-30,-35,-40,-10,-25,-10
0,-40,-45,-50,-60,-45,-55
0,-40,-5,-20,-40,-20,-70
0,-65,-30,-45,-55,-45,-75
0,-25,-20,-15,10,-10,-50
0,-40,-35,-30,-15,-25,-60
0,-55,-50,-45,-25,-35,-70
0,-25,-20,-30,-35,-25,-10
0,-60,-55,-65,-70,-60,-45
0,40,-30,-55,-15,-50,-55
0,15,-55,-80,-55,-75,-80
0,-27,-24,-25,-19,0,0
0,-62,-59,-60,-50,-35,-35
0,-5,-30,-27,-5,-10,-40
0,-30,-55,-52,-40,-35,-65
0,-19,2,-23,-15,-25,-15
0,-39,-28,-43,-45,-45,-35
0,-54,-43,-60,-60,-60,-50
0,-10,-8,-13,-25,-15,-24
0,-30,-38,-33,-45,-45,-44
0,-45,-53,-48,-60,-60,-59
0,-25,0,10,-55,-45,-35
0,-50,-25,-15,-80,-70,-60
0,-40,-10,-45,-10,-20,10
0,-65,-45,-60,-50,-50,-10
0,-40,-5,-31,-35,-21,-20
0,-65,-40,-56,-60,-46,-45
0,-35,-10,-35,-39,-39,0
0,-60,-40,-70,-69,-69,-30
0,-45,-19,-40,-50,-30,-3
0,-70,-44,-65,-75,-65,-28
0,-17,-20,-25,-30,-30,1
0,-37,-40,-45,-50,-50,-29
0,-60,-55,-60,-65,-65,-44
0,-35,-10,-60,-55,-20,-25
0,-55,-75,-50,-75,-75,-65
0,-60,-65,-70,-80,-80,-50
0,-40,-55,-50,-10,-20,-30
0,-50,-80,-45,-75,-75,-70
0,-55,-70,-65,-80,-80,-55
0,-21,-17,0,-15,5,-22
0,-41,-37,-20,-35,-20,-42
0,-56,-52,-35,-50,-36,-57
0,-22,-16,-22,9,-15,0
0,-42,-36,-42,-20,-35,-20
0,-61,-48,-57,-40,-50,-35
0,-20,-18,-17,0,0,-20
0,-40,-38,-37,-20,-20,-40
0,-55,-51,-51,-35,-35,-55
0,-6,-10,10,-54,10,-30
0,-15,24,5,-54,10,-50
0,-45,-26,-25,-84,-20,-60
0,-65,-46,-45,-104,-40,-80
0,-16,-10,0,-29,-5,-40
0,-16,-20,-5,-29,0,-30
0,-16,-25,10,-59,35,-45
0,54,0,-25,-89,20,-100
0,-26,-5,-25,-94,-15,0
0,-46,5,15,-89,-20,-50
0,-76,-30,0,-99,-45,-75
0,-36,-50,35,-39,-20,-75
0,-71,-70,10,-64,-35,-95
0,-41,-50,-20,-69,-15,-90
0,-41,20,-30,-59,20,-65
0,-41,-45,-30,-44,5,0
0,24,-45,-30,-44,5,-65
0,-51,-55,-40,-109,-25,-75
0,-58,-62,-42,-106,-42,-82
0,24,-25,-10,-69,5,-70
0,-11,15,-11,-94,10,-49
0,-86,-100,-35,-139,-70,-50
0,-31,-10,5,-114,-20,-20
0,-41,15,10,-99,-20,-45
0,-41,-15,-33,-54,-5,-37
0,-41,-27,-33,-59,-5,-25
0,-41,-60,-55,-39,5,-35
0,-36,0,-10,-99,-10,-25
0,-66,-65,-25,-54,30,-40
0,-46,-35,-5,-54,-5,-15
0,-76,-65,-35,-84,-35,-45
0,-26,-18,-25,-89,-10,-62
0,-61,-43,-30,-119,-40,-67
0,-51,-45,5,-59,-45,-45
0,-76,-70,-20,-84,-65,-70
0,-1,-15,-10,-114,-10,-40
0,-41,-55,25,-54,-50,-70
0,144,-105,-85,-119,15,-80
0,-1,20,30,-109,-45,-90
0,-26,-25,5,-124,-60,-105
0,-41,-20,30,-69,-20,-70
0,-66,-45,5,-94,-45,-95
0,-16,-55,-15,-94,-15,-100
0,-56,-5,-11,-119,20,-54
0,-56,10,-37,-119,20,-43
0,-46,-30,20,-104,-10,-85
0,-56,-60,5,-114,-40,-95
0,-11,-15,-5,-29,-15,-75
0,-46,-70,-10,-94,-45,-90
0,-46,-60,-20,-74,-10,20
0,-66,-80,-40,-99,-35,-30
0,-51,20,25,-104,-40,-55
0,-76,-5,0,-129,-65,-80
0,-21,-37,-20,-81,25,-63
0,-46,-62,-45,-111,0,-88
0,-71,-65,70,-124,-45,-60
0,-46,-45,-30,-24,-15,-20
0,-61,-60,-45,-39,-35,-35
0,-76,-75,-60,-54,-55,-50
0,-56,-15,90,-69,-45,-60
0,-76,-45,10,-109,-65,-90
0,-1,-5,-15,-89,10,-80
0,-26,-30,-40,-114,-40,-105
0,-16,-40,-10,-84,5,-60
0,-41,-65,-35,-109,-20,-85
0,-46,0,-20,-94,-30,-20
0,-71,-25,-45,-119,-55,-55
0,-54,-20,-35,-96,-28,-70
0,-56,-50,5,-34,-20,-60
0,-81,-75,-20,-59,-35,-85
0,-11,-35,20,-54,-10,-100
0,-16,-45,-25,-114,-50,-115
0,-41,-10,-20,-74,-10,-25
0,-56,-25,-35,-89,-25,-40
0,-26,10,40,-99,-25,-85
0,-51,-15,25,-109,-45,-95
0,-66,-30,10,-124,-60,-110
0,-26,-40,-25,-74,30,-30
0,-66,-70,-55,-104,10,-60
0,-26,-5,-25,-54,-20,-60
0,-41,-20,-40,-69,-45,-75
0,-56,-35,-55,-84,-60,-90
0,-16,20,-10,-89,-5,-75
0,-26,-10,-20,-104,-30,-85
0,-36,-30,-40,-119,-55,-95
0,-51,-60,-45,-19,5,-10
0,-66,-75,-60,-34,-20,-25
0,-81,-90,-75,-49,-35,-40
0,-16,-15,5,-84,0,-60
0,-41,-45,-25,-104,-40,-40
0,-66,-60,-50,-114,-50,-40
0,-16,0,-10,-54,-10,-35
0,-51,-40,-45,-84,-40,-70
0,-41,-5,-30,-94,-20,-35
0,-66,-30,-55,-119,-45,-60
0,-26,-28,-12,-59,-10,-45
0,-56,-58,-42,-89,-40,-75
0,-41,-40,-30,-89,-25,-15
0,-66,-65,-55,-114,-50,-40
0,-71,-10,-40,-104,-20,-10
0,-96,-55,-65,-119,-45,-35
0,-36,-45,-30,-64,-15,-40
0,-46,-55,-40,-114,-35,-85
0,-46,-15,-10,-94,-10,-100
0,-71,-40,-35,-109,-35,-105
0,-31,-30,-5,-44,0,-80
0,-46,-45,-20,-69,-15,-90
0,-61,-60,-35,-79,-25,-100
0,-31,-30,-20,-89,-15,-40
0,-66,-65,-55,-124,-50,-75
0,34,-40,-45,-69,-40,-85
0,9,-65,-70,-109,-65,-110
0,-33,-34,-15,-73,10,-30
0,-68,-69,-50,-104,-25,-65
0,-11,-40,-17,-59,0,-70
0,-36,-65,-42,-94,-25,-95
0,-25,-8,-13,-69,-15,-45
0,-45,-38,-33,-99,-35,-65
0,-60,-53,-50,-114,-50,-80
0,-16,-18,-3,-79,-5,-54
0,-36,-48,-23,-99,-35,-74
0,-51,-63,-38,-114,-50,-89
0,-31,-10,20,-109,-35,-65
0,-56,-35,-5,-134,-60,-90
0,-46,-20,-35,-64,-10,-20
0,-71,-55,-50,-104,-40,-40
0,-46,-15,-21,-89,-11,-50
0,-71,-50,-46,-114,-36,-75
0,-41,-20,-25,-93,-29,-30
0,-66,-50,-60,-123,-59,-60
0,-51,-29,-30,-104,-20,-33
0,-76,-54,-55,-129,-55,-58
0,-23,-30,-15,-84,-20,-29
0,-43,-50,-35,-104,-40,-59
0,-66,-65,-50,-119,-55,-74
0,-41,-20,-50,-109,-10,-55
0,-61,-85,-40,-129,-65,-95
0,-66,-75,-60,-134,-70,-80
0,-46,-65,-40,-64,-10,-60
0,-56,-90,-35,-129,-65,-100
0,-61,-80,-55,-134,-70,-85
0,-27,-27,10,-69,15,-52
0,-47,-47,-10,-89,-10,-72
0,-62,-62,-25,-104,-26,-87
0,-28,-26,-12,-45,-5,-30
0,-48,-46,-32,-74,-25,-50
0,-67,-58,-47,-94,-40,-65
0,-26,-28,-7,-54,10,-50
0,-46,-48,-27,-74,-10,-70
0,-61,-61,-41,-89,-25,-85
0,9,-34,5,0,0,20
1,15,-24,-5,54,-10,50
0,-30,-50,-30,-30,-30,-10
0,-50,-70,-50,-50,-50,-30
0,-1,-34,-5,25,-15,10
0,-1,-44,-10,25,-10,20
0,-1,-49,5,-5,25,5
0,69,-24,-30,-35,10,-50
0,-11,-29,-30,-40,-25,50
0,-31,-19,10,-35,-30,0
0,-61,-54,-5,-45,-55,-25
0,-21,-74,30,15,-30,-25
0,-56,-94,5,-10,-45,-45
0,-26,-74,-25,-15,-25,-40
0,-26,-4,-35,-5,10,-15
0,-26,-69,-35,10,-5,50
0,39,-69,-35,10,-5,-15
0,-36,-79,-45,-55,-35,-25
0,-43,-86,-47,-52,-52,-32
0,39,-49,-15,-15,-5,-20
0,4,-9,-16,-40,0,1
0,-71,-124,-40,-85,-80,0
0,-16,-34,0,-60,-30,30
0,-26,-9,5,-45,-30,5
0,-26,-39,-38,0,-15,13
0,-26,-51,-38,-5,-15,25
0,-26,-84,-60,15,-5,15
0,-21,-24,-15,-45,-20,25
0,-51,-89,-30,0,20,10
0,-31,-59,-10,0,-15,35
0,-61,-89,-40,-30,-45,5
0,-11,-42,-30,-35,-20,-12
0,-46,-67,-35,-65,-50,-17
0,-36,-69,0,-5,-55,5
0,-61,-94,-25,-30,-75,-20
0,14,-39,-15,-60,-20,10
0,-26,-79,20,0,-60,-20
0,159,-129,-90,-65,5,-30
0,14,-4,25,-55,-55,-40
0,-11,-49,0,-70,-70,-55
0,-26,-44,25,-15,-30,-20
0,-51,-69,0,-40,-55,-45
0,-1,-79,-20,-40,-25,-50
0,-41,-29,-16,-65,10,-4
0,-41,-14,-42,-65,10,7
0,-31,-54,15,-50,-20,-35
0,-41,-84,0,-60,-50,-45
0,4,-39,-10,25,-25,-25
0,-31,-94,-15,-40,-55,-40
0,-31,-84,-25,-20,-20,70
0,-51,-104,-45,-45,-45,20
0,-36,-4,20,-50,-50,-5
0,-61,-29,-5,-75,-75,-30
0,-6,-61,-25,-27,15,-13
0,-31,-86,-50,-57,-10,-38
0,-56,-89,65,-70,-55,-10
0,-31,-69,-35,30,-25,30
0,-46,-84,-50,15,-45,15
0,-61,-99,-65,0,-65,0
0,-41,-39,85,-15,-55,-10
0,-61,-69,5,-55,-75,-40
0,14,-29,-20,-35,0,-30
0,-11,-54,-45,-60,-50,-55
0,-1,-64,-15,-30,-5,-10
0,-26,-89,-40,-55,-30,-35
0,-31,-24,-25,-40,-40,30
0,-56,-49,-50,-65,-65,-5
0,-39,-44,-40,-42,-38,-20
0,-41,-74,0,20,-30,-10
0,-66,-99,-25,-5,-45,-35
0,4,-59,15,0,-20,-50
0,-1,-69,-30,-60,-60,-65
0,-26,-34,-25,-20,-20,25
0,-41,-49,-40,-35,-35,10
0,-11,-14,35,-45,-35,-35
0,-36,-39,20,-55,-55,-45
0,-51,-54,5,-70,-70,-60
0,-11,-64,-30,-20,20,20
0,-51,-94,-60,-50,0,-10
0,-11,-29,-30,0,-30,-10
0,-26,-44,-45,-15,-55,-25
0,-41,-59,-60,-30,-70,-40
0,-1,-4,-15,-35,-15,-25
0,-11,-34,-25,-50,-40,-35
0,-21,-54,-45,-65,-65,-45
0,-36,-84,-50,35,-5,40
0,-51,-99,-65,20,-30,25
0,-66,-114,-80,5,-45,10
0,-1,-39,0,-30,-10,-10
0,-26,-69,-30,-50,-50,10
0,-51,-84,-55,-60,-60,10
0,-1,-24,-15,0,-20,15
0,-36,-64,-50,-30,-50,-20
0,-26,-29,-35,-40,-30,15
0,-51,-54,-60,-65,-55,-10
0,-11,-52,-17,-5,-20,5
0,-41,-82,-47,-35,-50,-25
0,-26,-64,-35,-35,-35,35
0,-51,-89,-60,-60,-60,10
0,-56,-34,-45,-50,-30,40
0,-81,-79,-70,-65,-55,15
0,-21,-69,-35,-10,-25,10
0,-31,-79,-45,-60,-45,-35
0,-31,-39,-15,-40,-20,-50
0,-56,-64,-40,-55,-45,-55
0,-16,-54,-10,10,-10,-30
0,-31,-69,-25,-15,-25,-40
0,-46,-84,-40,-25,-35,-50
0,-16,-54,-25,-35,-25,10
0,-51,-89,-60,-70,-60,-25
0,49,-64,-50,-15,-50,-35
0,24,-89,-75,-55,-75,-60
0,-18,-58,-20,-19,0,20
0,-53,-93,-55,-50,-35,-15
0,4,-64,-22,-5,-10,-20
0,-21,-89,-47,-40,-35,-45
0,-10,-32,-18,-15,-25,5
0,-30,-62,-38,-45,-45,-15
0,-45,-77,-55,-60,-60,-30
0,-1,-42,-8,-25,-15,-4
0,-21,-72,-28,-45,-45,-24
0,-36,-87,-43,-60,-60,-39
0,-16,-34,15,-55,-45,-15
0,-41,-59,-10,-80,-70,-40
0,-31,-44,-40,-10,-20,30
0,-56,-79,-55,-50,-50,10
0,-31,-39,-26,-35,-21,0
0,-56,-74,-51,-60,-46,-25
0,-26,-44,-30,-39,-39,20
0,-51,-74,-65,-69,-69,-10
0,-36,-53,-35,-50,-30,17
0,-61,-78,-60,-75,-65,-8
0,-8,-54,-20,-30,-30,21
0,-28,-74,-40,-50,-50,-9
0,-51,-89,-55,-65,-65,-24
0,-26,-44,-55,-55,-20,-5
0,-46,-109,-45,-75,-75,-45
0,-51,-99,-65,-80,-80,-30
0,-31,-89,-45,-10,-20,-10
0,-41,-114,-40,-75,-75,-50
0,-46,-104,-60,-80,-80,-35
0,-12,-51,5,-15,5,-2
0,-32,-71,-15,-35,-20,-22
0,-47,-86,-30,-50,-36,-37
0,-13,-50,-17,9,-15,20
0,-33,-70,-37,-20,-35,0
0,-52,-82,-52,-40,-50,-15
0,-11,-52,-12,0,0,0
0,-31,-72,-32,-20,-20,-20
0,-46,-85,-46,-35,-35,-35
1,39,16,35,30,30,30
1,45,26,25,84,20,60
1,30,50,30,30,30,10
0,-20,-20,-20,-20,-20,-20
1,29,16,25,55,15,20
1,29,6,20,55,20,30
1,29,1,35,25,55,15
1,99,26,0,-5,40,-40
1,19,21,0,-10,5,60
1,-1,31,40,-5,0,10
0,-31,-4,25,-15,-25,-15
1,9,-24,60,45,0,-15
0,-26,-44,35,20,-15,-35
0,4,-24,5,15,5,-30
1,4,46,-5,25,40,-5
1,4,-19,-5,40,25,60
1,69,-19,-5,40,25,-5
0,-6,-29,-15,-25,-5,-15
0,-13,-36,-17,-22,-22,-22
1,69,1,15,15,25,-10
1,34,41,14,-10,30,11
0,-41,-74,-10,-55,-50,10
1,14,16,30,-30,0,40
1,4,41,35,-15,0,15
1,4,11,-8,30,15,23
1,4,-1,-8,25,15,35
1,4,-34,-30,45,25,25
1,9,26,15,-15,10,35
1,-21,-39,0,30,50,20
1,-1,-9,20,30,15,45
0,-31,-39,-10,0,-15,15
1,19,8,0,-5,10,-2
0,-16,-17,-5,-35,-20,-7
1,-6,-19,30,25,-25,15
0,-31,-44,5,0,-45,-10
1,44,11,15,-30,10,20
1,4,-29,50,30,-30,-10
1,189,-79,-60,-35,35,-20
1,44,46,55,-25,-25,-30
0,19,1,30,-40,-40,-45
1,4,6,55,15,0,-10
0,-21,-19,30,-10,-25,-35
0,29,-29,10,-10,5,-40
1,-11,21,14,-35,40,6
1,-11,36,-12,-35,40,17
1,-1,-4,45,-20,10,-25
0,-11,-34,30,-30,-20,-35
1,34,11,20,55,5,-15
0,-1,-44,15,-10,-25,-30
1,-1,-34,5,10,10,80
0,-21,-54,-15,-15,-15,30
1,-6,46,50,-20,-20,5
0,-31,21,25,-45,-45,-20
1,24,-11,5,3,45,-3
0,-1,-36,-20,-27,20,-28
0,-26,-39,95,-40,-25,0
1,-1,-19,-5,60,5,40
0,-16,-34,-20,45,-15,25
0,-31,-49,-35,30,-35,10
1,-11,11,115,15,-25,0
0,-31,-19,35,-25,-45,-30
1,44,21,10,-5,30,-20
0,19,-4,-15,-30,-20,-45
1,29,-14,15,0,25,0
0,4,-39,-10,-25,0,-25
1,-1,26,5,-10,-10,40
0,-26,1,-20,-35,-35,5
0,-9,6,-10,-12,-8,-10
1,-11,-24,30,50,0,0
0,-36,-49,5,25,-15,-25
1,34,-9,45,30,10,-40
0,29,-19,0,-30,-30,-55
1,4,16,5,10,10,35
0,-11,1,-10,-5,-5,20
1,19,36,65,-15,-5,-25
0,-6,11,50,-25,-25,-35
0,-21,-4,35,-40,-40,-50
1,19,-14,0,10,50,30
0,-21,-44,-30,-20,30,0
1,19,21,0,30,0,0
0,4,6,-15,15,-25,-15
0,-11,-9,-30,0,-40,-30
1,29,46,15,-5,15,-15
0,19,16,5,-20,-10,-25
0,9,-4,-15,-35,-35,-35
1,-6,-34,-20,65,25,50
0,-21,-49,-35,50,0,35
0,-36,-64,-50,35,-15,20
1,29,11,30,0,20,0
0,4,-19,0,-20,-20,20
0,-21,-34,-25,-30,-30,20
1,29,26,15,30,10,25
0,-6,-14,-20,0,-20,-10
1,4,21,-5,-10,0,25
0,-21,-4,-30,-35,-25,0
1,19,-2,13,25,10,15
0,-11,-32,-17,-5,-20,-15
1,4,-14,-5,-5,-5,45
0,-21,-39,-30,-30,-30,20
1,-26,16,-15,-20,0,50
0,-51,-29,-40,-35,-25,25
1,9,-19,-5,20,5,20
0,-1,-29,-15,-30,-15,-25
0,-1,11,15,-10,10,-40
0,-26,-14,-10,-25,-15,-45
1,14,-4,20,40,20,-20
0,-1,-19,5,15,5,-30
0,-16,-34,-10,5,-5,-40
1,14,-4,5,-5,5,20
0,-21,-39,-30,-40,-30,-15
1,79,-14,-20,15,-20,-25
0,54,-39,-45,-25,-45,-50
1,12,-8,10,11,30,30
0,-23,-43,-25,-20,-5,-5
1,34,-14,8,25,20,-10
0,9,-39,-17,-10,-5,-35
1,20,18,12,15,5,15
0,0,-12,-8,-15,-15,-5
0,-15,-27,-25,-30,-30,-20
1,29,8,22,5,15,6
0,9,-22,2,-15,-15,-14
0,-6,-37,-13,-30,-30,-29
1,14,16,45,-25,-15,-5
0,-11,-9,20,-50,-40,-30
1,-1,6,-10,20,10,40
0,-26,-29,-25,-20,-20,20
1,-1,11,4,-5,9,10
0,-26,-24,-21,-30,-16,-15
1,4,6,0,-9,-9,30
0,-21,-24,-35,-39,-39,0
0,-6,-3,-5,-20,0,27
0,-31,-28,-30,-45,-35,2
1,22,-4,10,0,0,31
0,2,-24,-10,-20,-20,1
0,-21,-39,-25,-35,-35,-14
0,4,6,-25,-25,10,5
0,-16,-59,-15,-45,-45,-35
0,-21,-49,-35,-50,-50,-20
0,-1,-39,-15,20,10,0
0,-11,-64,-10,-45,-45,-40
0,-16,-54,-30,-50,-50,-25
1,18,-1,35,15,35,8
0,-2,-21,15,-5,10,-12
0,-17,-36,0,-20,-6,-27
1,17,0,13,39,15,30
0,-3,-20,-7,10,-5,10
0,-22,-32,-22,-10,-20,-5
1,19,-2,18,30,30,10
0,-1,-22,-2,10,10,-10
0,-16,-35,-16,-5,-5,-25
1,59,36,55,50,50,50
1,65,46,45,104,40,80
1,50,70,50,50,50,30
1,20,20,20,20,20,20
1,49,36,45,75,35,40
1,49,26,40,75,40,50
1,49,21,55,45,75,35
1,119,46,20,15,60,-20
1,39,41,20,10,25,80
1,19,51,60,15,20,30
1,-11,16,45,5,-5,5
1,29,-4,80,65,20,5
1,-6,-24,55,40,5,-15
1,24,-4,25,35,25,-10
1,24,66,15,45,60,15
1,24,1,15,60,45,80
1,89,1,15,60,45,15
1,14,-9,5,-5,15,5
0,7,-16,3,-2,-2,-2
1,89,21,35,35,45,10
1,54,61,34,10,50,31
0,-21,-54,10,-35,-30,30
1,34,36,50,-10,20,60
1,24,61,55,5,20,35
1,24,31,12,50,35,43
1,24,19,12,45,35,55
1,24,-14,-10,65,45,45
1,29,46,35,5,30,55
1,-1,-19,20,50,70,40
1,19,11,40,50,35,65
1,-11,-19,10,20,5,35
1,39,28,20,15,30,18
1,4,3,15,-15,0,13
1,14,1,50,45,-5,35
0,-11,-24,25,20,-25,10
1,64,31,35,-10,30,40
1,24,-9,70,50,-10,10
1,209,-59,-40,-15,55,0
1,64,66,75,-5,-5,-10
1,39,21,50,-20,-20,-25
1,24,26,75,35,20,10
1,-1,1,50,10,-5,-15
1,49,-9,30,10,25,-20
1,9,41,34,-15,60,26
1,9,56,8,-15,60,37
1,19,16,65,0,30,-5
1,9,-14,50,-10,0,-15
1,54,31,40,75,25,5
1,19,-24,35,10,-5,-10
1,19,-14,25,30,30,100
1,-1,-34,5,5,5,50
1,14,66,70,0,0,25
1,-11,41,45,-25,-25,0
1,44,9,25,23,65,17
1,19,-16,0,-7,40,-8
1,-6,-19,115,-20,-5,20
1,19,1,15,80,25,60
1,4,-14,0,65,5,45
1,-11,-29,-15,50,-15,30
1,9,31,135,35,-5,20
1,-11,1,55,-5,-25,-10
1,64,41,30,15,50,0
1,39,16,5,-10,0,-25
1,49,6,35,20,45,20
1,24,-19,10,-5,20,-5
1,19,46,25,10,10,60
1,-6,21,0,-15,-15,25
1,11,26,10,8,12,10
1,9,-4,50,70,20,20
1,-16,-29,25,45,5,-5
1,54,11,65,50,30,-20
1,49,1,20,-10,-10,-35
1,24,36,25,30,30,55
1,9,21,10,15,15,40
1,39,56,85,5,15,-5
1,14,31,70,-5,-5,-15
0,-1,16,55,-20,-20,-30
1,39,6,20,30,70,50
1,-1,-24,-10,0,50,20
1,39,41,20,50,20,20
1,24,26,5,35,-5,5
0,9,11,-10,20,-20,-10
1,49,66,35,15,35,5
1,39,36,25,0,10,-5
1,29,16,5,-15,-15,-15
1,14,-14,0,85,45,70
1,-1,-29,-15,70,20,55
1,-16,-44,-30,55,5,40
1,49,31,50,20,40,20
1,24,1,20,0,0,40
0,-1,-14,-5,-10,-10,40
1,49,46,35,50,30,45
1,14,6,0,20,0,10
1,24,41,15,10,20,45
1,-1,16,-10,-15,-5,20
1,39,18,33,45,30,35
1,9,-12,3,15,0,5
1,24,6,15,15,15,65
0,-1,-19,-10,-10,-10,40
1,-6,36,5,0,20,70
0,-31,-9,-20,-15,-5,45
1,29,1,15,40,25,40
1,19,-9,5,-10,5,-5
1,19,31,35,10,30,-20
0,-6,6,10,-5,5,-25
1,34,16,40,60,40,0
1,19,1,25,35,25,-10
1,4,-14,10,25,15,-20
1,34,16,25,15,25,40
0,-1,-19,-10,-20,-10,5
1,99,6,0,35,0,-5
0,74,-19,-25,-5,-25,-30
1,32,12,30,31,50,50
0,-3,-23,-5,0,15,15
1,54,6,28,45,40,10
1,29,-19,3,10,15,-15
1,40,38,32,35,25,35
1,20,8,12,5,5,15
0,5,-7,-5,-10,-10,0
1,49,28,42,25,35,26
1,29,-2,22,5,5,6
0,14,-17,7,-10,-10,-9
1,34,36,65,-5,5,15
0,9,11,40,-30,-20,-10
1,19,26,10,40,30,60
1,-6,-9,-5,0,0,40
1,19,31,24,15,29,30
0,-6,-4,-1,-10,4,5
1,24,26,20,11,11,50
0,-1,-4,-15,-19,-19,20
1,14,17,15,0,20,47
0,-11,-8,-10,-25,-15,22
1,42,16,30,20,20,51
1,22,-4,10,0,0,21
0,-1,-19,-5,-15,-15,6
1,24,26,-5,-5,30,25
0,4,-39,5,-25,-25,-15
0,-1,-29,-15,-30,-30,0
1,19,-19,5,40,30,20
0,9,-44,10,-25,-25,-20
0,4,-34,-10,-30,-30,-5
1,38,19,55,35,55,28
1,18,-1,35,15,30,8
1,3,-16,20,0,14,-7
1,37,20,33,59,35,50
1,17,0,13,30,15,30
1,-2,-12,-2,10,0,15
1,39,18,38,50,50,30
1,19,-2,18,30,30,10
1,4,-15,4,15,15,-5
1,10,0,10,-25,15,10
1,16,10,0,29,5,40
1,1,34,5,-25,15,-10
0,-29,-16,-25,-55,-15,-20
0,-49,-36,-45,-75,-35,-40
0,0,-10,-5,0,5,10
0,0,-15,10,-30,40,-5
0,70,10,-25,-60,25,-60
0,-10,5,-25,-65,-10,40
0,-30,15,15,-60,-15,-10
0,-60,-20,0,-70,-40,-35
0,-20,-40,35,-10,-15,-35
0,-55,-60,10,-35,-30,-55
0,-25,-40,-20,-40,-10,-50
0,-25,30,-30,-30,25,-25
0,-25,-35,-30,-15,10,40
0,40,-35,-30,-15,10,-25
