Did_Poke1_Win,Poke_1_HP,Poke_1_Attack,Poke_1_Defense,Poke_1_Sp_Attack,Poke_1_Sp_Defense,Poke_1_Speed,Poke_2_HP,Poke_2_Attack,Poke_2_Defense,Poke_2_Sp_Attack,Poke_2_Sp_Defense,Poke_2_Speed
0,70,60,125,115,70,55,90,85,100,95,125,85
0,70,60,125,115,70,55,160,110,65,65,110,30
0,70,60,125,115,70,55,80,105,65,60,75,130
0,70,60,125,115,70,55,60,115,105,65,70,80
1,70,60,125,115,70,55,30,80,90,55,45,55
0,35,40,100,90,55,35,100,100,100,100,100,100
0,35,40,100,90,55,35,106,110,90,154,90,130
0,35,40,100,90,55,35,91,134,95,100,100,80
0,35,40,100,90,55,35,61,84,65,70,70,70
1,35,40,100,90,55,35,41,64,45,50,50,50
0,35,40,100,90,55,35,90,100,90,125,85,90
0,35,40,100,90,55,35,90,90,85,125,90,100
0,35,40,100,90,55,35,90,85,100,95,125,85
0,35,40,100,90,55,35,160,110,65,65,110,30
0,35,40,100,90,55,35,80,105,65,60,75,130
0,35,40,100,90,55,35,60,115,105,65,70,80
0,35,40,100,90,55,35,30,80,90,55,45,55
0,35,40,100,90,55,35,70,60,125,115,70,55
0,65,60,70,85,75,40,100,100,100,100,100,100
0,65,60,70,85,75,40,106,110,90,154,90,130
0,65,60,70,85,75,40,91,134,95,100,100,80
0,65,60,70,85,75,40,61,84,65,70,70,70
1,65,60,70,85,75,40,41,64,45,50,50,50
0,65,60,70,85,75,40,90,100,90,125,85,90
0,65,60,70,85,75,40,90,90,85,125,90,100
0,65,60,70,85,75,40,90,85,100,95,125,85
0,65,60,70,85,75,40,160,110,65,65,110,30
0,65,60,70,85,75,40,80,105,65,60,75,130
0,65,60,70,85,75,40,60,115,105,65,70,80
1,65,60,70,85,75,40,30,80,90,55,45,55
0,65,60,70,85,75,40,70,60,125,115,70,55
1,65,60,70,85,75,40,35,40,100,90,55,35
0,65,130,60,95,110,65,100,100,100,100,100,100
0,65,130,60,95,110,65,106,110,90,154,90,130
0,65,130,60,95,110,65,91,134,95,100,100,80
1,65,130,60,95,110,65,61,84,65,70,70,70
1,65,130,60,95,110,65,41,64,45,50,50,50
0,65,130,60,95,110,65,90,100,90,125,85,90
0,65,130,60,95,110,65,90,90,85,125,90,100
0,65,130,60,95,110,65,90,85,100,95,125,85
0,65,130,60,95,110,65,160,110,65,65,110,30
1,65,130,60,95,110,65,80,105,65,60,75,130
1,65,130,60,95,110,65,60,115,105,65,70,80
1,65,130,60,95,110,65,30,80,90,55,45,55
1,65,130,60,95,110,65,70,60,125,115,70,55
1,65,130,60,95,110,65,35,40,100,90,55,35
1,65,130,60,95,110,65,65,60,70,85,75,40
0,65,65,60,110,95,130,100,100,100,100,100,100
0,65,65,60,110,95,130,106,110,90,154,90,130
0,65,65,60,110,95,130,91,134,95,100,100,80
1,65,65,60,110,95,130,61,84,65,70,70,70
1,65,65,60,110,95,130,41,64,45,50,50,50
0,65,65,60,110,95,130,90,100,90,125,85,90
0,65,65,60,110,95,130,90,90,85,125,90,100
0,65,65,60,110,95,130,90,85,100,95,125,85
0,65,65,60,110,95,130,160,110,65,65,110,30
1,65,65,60,110,95,130,80,105,65,60,75,130
1,65,65,60,110,95,130,60,115,105,65,70,80
1,65,65,60,110,95,130,30,80,90,55,45,55
1,65,65,60,110,95,130,70,60,125,115,70,55
1,65,65,60,110,95,130,35,40,100,90,55,35
1,65,65,60,110,95,130,65,60,70,85,75,40
0,65,65,60,110,95,130,65,130,60,95,110,65
0,130,65,60,110,95,65,100,100,100,100,100,100
0,130,65,60,110,95,65,106,110,90,154,90,130
0,130,65,60,110,95,65,91,134,95,100,100,80
1,130,65,60,110,95,65,61,84,65,70,70,70
1,130,65,60,110,95,65,41,64,45,50,50,50
0,130,65,60,110,95,65,90,100,90,125,85,90
0,130,65,60,110,95,65,90,90,85,125,90,100
0,130,65,60,110,95,65,90,85,100,95,125,85
0,130,65,60,110,95,65,160,110,65,65,110,30
1,130,65,60,110,95,65,80,105,65,60,75,130
1,130,65,60,110,95,65,60,115,105,65,70,80
1,130,65,60,110,95,65,30,80,90,55,45,55
1,130,65,60,110,95,65,70,60,125,115,70,55
1,130,65,60,110,95,65,35,40,100,90,55,35
1,130,65,60,110,95,65,65,60,70,85,75,40
0,130,65,60,110,95,65,65,130,60,95,110,65
0,130,65,60,110,95,65,65,65,60,110,95,130
0,55,55,50,45,65,55,100,100,100,100,100,100
0,55,55,50,45,65,55,106,110,90,154,90,130
0,55,55,50,45,65,55,91,134,95,100,100,80
0,55,55,50,45,65,55,61,84,65,70,70,70
1,55,55,50,45,65,55,41,64,45,50,50,50
0,55,55,50,45,65,55,90,100,90,125,85,90
0,55,55,50,45,65,55,90,90,85,125,90,100
0,55,55,50,45,65,55,90,85,100,95,125,85
0,55,55,50,45,65,55,160,110,65,65,110,30
0,55,55,50,45,65,55,80,105,65,60,75,130
0,55,55,50,45,65,55,60,115,105,65,70,80
0,55,55,50,45,65,55,30,80,90,55,45,55
0,55,55,50,45,65,55,70,60,125,115,70,55
0,55,55,50,45,65,55,35,40,100,90,55,35
0,55,55,50,45,65,55,65,60,70,85,75,40
0,55,55,50,45,65,55,65,130,60,95,110,65
0,55,55,50,45,65,55,65,65,60,110,95,130
0,55,55,50,45,65,55,130,65,60,110,95,65
0,48,48,48,48,48,48,100,100,100,100,100,100
0,48,48,48,48,48,48,106,110,90,154,90,130
0,48,48,48,48,48,48,91,134,95,100,100,80
0,48,48,48,48,48,48,61,84,65,70,70,70
0,48,48,48,48,48,48,41,64,45,50,50,50
0,48,48,48,48,48,48,90,100,90,125,85,90
0,48,48,48,48,48,48,90,90,85,125,90,100
0,48,48,48,48,48,48,90,85,100,95,125,85
0,48,48,48,48,48,48,160,110,65,65,110,30
0,48,48,48,48,48,48,80,105,65,60,75,130
0,48,48,48,48,48,48,60,115,105,65,70,80
0,48,48,48,48,48,48,30,80,90,55,45,55
0,48,48,48,48,48,48,70,60,125,115,70,55
0,48,48,48,48,48,48,35,40,100,90,55,35
0,48,48,48,48,48,48,65,60,70,85,75,40
0,48,48,48,48,48,48,65,130,60,95,110,65
0,48,48,48,48,48,48,65,65,60,110,95,130
0,48,48,48,48,48,48,130,65,60,110,95,65
0,48,48,48,48,48,48,55,55,50,45,65,55
0,130,85,80,85,95,60,100,100,100,100,100,100
0,130,85,80,85,95,60,106,110,90,154,90,130
0,130,85,80,85,95,60,91,134,95,100,100,80
1,130,85,80,85,95,60,61,84,65,70,70,70
1,130,85,80,85,95,60,41,64,45,50,50,50
0,130,85,80,85,95,60,90,100,90,125,85,90
0,130,85,80,85,95,60,90,90,85,125,90,100
0,130,85,80,85,95,60,90,85,100,95,125,85
0,130,85,80,85,95,60,160,110,65,65,110,30
1,130,85,80,85,95,60,80,105,65,60,75,130
1,130,85,80,85,95,60,60,115,105,65,70,80
1,130,85,80,85,95,60,30,80,90,55,45,55
1,130,85,80,85,95,60,70,60,125,115,70,55
1,130,85,80,85,95,60,35,40,100,90,55,35
1,130,85,80,85,95,60,65,60,70,85,75,40
1,130,85,80,85,95,60,65,130,60,95,110,65
1,130,85,80,85,95,60,65,65,60,110,95,130
1,130,85,80,85,95,60,130,65,60,110,95,65
1,130,85,80,85,95,60,55,55,50,45,65,55
1,130,85,80,85,95,60,48,48,48,48,48,48
0,95,125,79,60,100,81,100,100,100,100,100,100
0,95,125,79,60,100,81,106,110,90,154,90,130
0,95,125,79,60,100,81,91,134,95,100,100,80
1,95,125,79,60,100,81,61,84,65,70,70,70
1,95,125,79,60,100,81,41,64,45,50,50,50
0,95,125,79,60,100,81,90,100,90,125,85,90
0,95,125,79,60,100,81,90,90,85,125,90,100
0,95,125,79,60,100,81,90,85,100,95,125,85
0,95,125,79,60,100,81,160,110,65,65,110,30
1,95,125,79,60,100,81,80,105,65,60,75,130
1,95,125,79,60,100,81,60,115,105,65,70,80
1,95,125,79,60,100,81,30,80,90,55,45,55
1,95,125,79,60,100,81,70,60,125,115,70,55
1,95,125,79,60,100,81,35,40,100,90,55,35
1,95,125,79,60,100,81,65,60,70,85,75,40
1,95,125,79,60,100,81,65,130,60,95,110,65
1,95,125,79,60,100,81,65,65,60,110,95,130
1,95,125,79,60,100,81,130,65,60,110,95,65
1,95,125,79,60,100,81,55,55,50,45,65,55
1,95,125,79,60,100,81,48,48,48,48,48,48
1,95,125,79,60,100,81,130,85,80,85,95,60
0,20,10,55,15,20,80,100,100,100,100,100,100
0,20,10,55,15,20,80,106,110,90,154,90,130
0,20,10,55,15,20,80,91,134,95,100,100,80
0,20,10,55,15,20,80,61,84,65,70,70,70
0,20,10,55,15,20,80,41,64,45,50,50,50
0,20,10,55,15,20,80,90,100,90,125,85,90
0,20,10,55,15,20,80,90,90,85,125,90,100
0,20,10,55,15,20,80,90,85,100,95,125,85
0,20,10,55,15,20,80,160,110,65,65,110,30
0,20,10,55,15,20,80,80,105,65,60,75,130
0,20,10,55,15,20,80,60,115,105,65,70,80
0,20,10,55,15,20,80,30,80,90,55,45,55
0,20,10,55,15,20,80,70,60,125,115,70,55
0,20,10,55,15,20,80,35,40,100,90,55,35
0,20,10,55,15,20,80,65,60,70,85,75,40
0,20,10,55,15,20,80,65,130,60,95,110,65
0,20,10,55,15,20,80,65,65,60,110,95,130
0,20,10,55,15,20,80,130,65,60,110,95,65
0,20,10,55,15,20,80,55,55,50,45,65,55
0,20,10,55,15,20,80,48,48,48,48,48,48
0,20,10,55,15,20,80,130,85,80,85,95,60
0,20,10,55,15,20,80,95,125,79,60,100,81
0,75,100,95,40,70,110,100,100,100,100,100,100
0,75,100,95,40,70,110,106,110,90,154,90,130
0,75,100,95,40,70,110,91,134,95,100,100,80
1,75,100,95,40,70,110,61,84,65,70,70,70
1,75,100,95,40,70,110,41,64,45,50,50,50
0,75,100,95,40,70,110,90,100,90,125,85,90
0,75,100,95,40,70,110,90,90,85,125,90,100
0,75,100,95,40,70,110,90,85,100,95,125,85
0,75,100,95,40,70,110,160,110,65,65,110,30
0,75,100,95,40,70,110,80,105,65,60,75,130
0,75,100,95,40,70,110,60,115,105,65,70,80
1,75,100,95,40,70,110,30,80,90,55,45,55
0,75,100,95,40,70,110,70,60,125,115,70,55
1,75,100,95,40,70,110,35,40,100,90,55,35
1,75,100,95,40,70,110,65,60,70,85,75,40
0,75,100,95,40,70,110,65,130,60,95,110,65
0,75,100,95,40,70,110,65,65,60,110,95,130
0,75,100,95,40,70,110,130,65,60,110,95,65
1,75,100,95,40,70,110,55,55,50,45,65,55
1,75,100,95,40,70,110,48,48,48,48,48,48
0,75,100,95,40,70,110,130,85,80,85,95,60
0,75,100,95,40,70,110,95,125,79,60,100,81
1,75,100,95,40,70,110,20,10,55,15,20,80
0,65,125,100,55,70,85,100,100,100,100,100,100
0,65,125,100,55,70,85,106,110,90,154,90,130
0,65,125,100,55,70,85,91,134,95,100,100,80
1,65,125,100,55,70,85,61,84,65,70,70,70
1,65,125,100,55,70,85,41,64,45,50,50,50
0,65,125,100,55,70,85,90,100,90,125,85,90
0,65,125,100,55,70,85,90,90,85,125,90,100
0,65,125,100,55,70,85,90,85,100,95,125,85
0,65,125,100,55,70,85,160,110,65,65,110,30
0,65,125,100,55,70,85,80,105,65,60,75,130
1,65,125,100,55,70,85,60,115,105,65,70,80
1,65,125,100,55,70,85,30,80,90,55,45,55
1,65,125,100,55,70,85,70,60,125,115,70,55
1,65,125,100,55,70,85,35,40,100,90,55,35
1,65,125,100,55,70,85,65,60,70,85,75,40
0,65,125,100,55,70,85,65,130,60,95,110,65
0,65,125,100,55,70,85,65,65,60,110,95,130
0,65,125,100,55,70,85,130,65,60,110,95,65
1,65,125,100,55,70,85,55,55,50,45,65,55
1,65,125,100,55,70,85,48,48,48,48,48,48
0,65,125,100,55,70,85,130,85,80,85,95,60
0,65,125,100,55,70,85,95,125,79,60,100,81
1,65,125,100,55,70,85,20,10,55,15,20,80
1,65,125,100,55,70,85,75,100,95,40,70,110
0,65,95,57,100,85,93,100,100,100,100,100,100
0,65,95,57,100,85,93,106,110,90,154,90,130
0,65,95,57,100,85,93,91,134,95,100,100,80
1,65,95,57,100,85,93,61,84,65,70,70,70
1,65,95,57,100,85,93,41,64,45,50,50,50
0,65,95,57,100,85,93,90,100,90,125,85,90
0,65,95,57,100,85,93,90,90,85,125,90,100
0,65,95,57,100,85,93,90,85,100,95,125,85
0,65,95,57,100,85,93,160,110,65,65,110,30
0,65,95,57,100,85,93,80,105,65,60,75,130
0,65,95,57,100,85,93,60,115,105,65,70,80
1,65,95,57,100,85,93,30,80,90,55,45,55
0,65,95,57,100,85,93,70,60,125,115,70,55
1,65,95,57,100,85,93,35,40,100,90,55,35
1,65,95,57,100,85,93,65,60,70,85,75,40
0,65,95,57,100,85,93,65,130,60,95,110,65
0,65,95,57,100,85,93,65,65,60,110,95,130
0,65,95,57,100,85,93,130,65,60,110,95,65
1,65,95,57,100,85,93,55,55,50,45,65,55
1,65,95,57,100,85,93,48,48,48,48,48,48
0,65,95,57,100,85,93,130,85,80,85,95,60
0,65,95,57,100,85,93,95,125,79,60,100,81
1,65,95,57,100,85,93,20,10,55,15,20,80
1,65,95,57,100,85,93,75,100,95,40,70,110
0,65,95,57,100,85,93,65,125,100,55,70,85
0,65,83,57,95,85,105,100,100,100,100,100,100
0,65,83,57,95,85,105,106,110,90,154,90,130
0,65,83,57,95,85,105,91,134,95,100,100,80
1,65,83,57,95,85,105,61,84,65,70,70,70
1,65,83,57,95,85,105,41,64,45,50,50,50
0,65,83,57,95,85,105,90,100,90,125,85,90
0,65,83,57,95,85,105,90,90,85,125,90,100
0,65,83,57,95,85,105,90,85,100,95,125,85
0,65,83,57,95,85,105,160,110,65,65,110,30
0,65,83,57,95,85,105,80,105,65,60,75,130
0,65,83,57,95,85,105,60,115,105,65,70,80
1,65,83,57,95,85,105,30,80,90,55,45,55
0,65,83,57,95,85,105,70,60,125,115,70,55
1,65,83,57,95,85,105,35,40,100,90,55,35
1,65,83,57,95,85,105,65,60,70,85,75,40
0,65,83,57,95,85,105,65,130,60,95,110,65
0,65,83,57,95,85,105,65,65,60,110,95,130
0,65,83,57,95,85,105,130,65,60,110,95,65
1,65,83,57,95,85,105,55,55,50,45,65,55
1,65,83,57,95,85,105,48,48,48,48,48,48
0,65,83,57,95,85,105,130,85,80,85,95,60
0,65,83,57,95,85,105,95,125,79,60,100,81
1,65,83,57,95,85,105,20,10,55,15,20,80
0,65,83,57,95,85,105,75,100,95,40,70,110
0,65,83,57,95,85,105,65,125,100,55,70,85
0,65,83,57,95,85,105,65,95,57,100,85,93
0,65,50,35,115,95,95,100,100,100,100,100,100
0,65,50,35,115,95,95,106,110,90,154,90,130
0,65,50,35,115,95,95,91,134,95,100,100,80
1,65,50,35,115,95,95,61,84,65,70,70,70
1,65,50,35,115,95,95,41,64,45,50,50,50
0,65,50,35,115,95,95,90,100,90,125,85,90
0,65,50,35,115,95,95,90,90,85,125,90,100
0,65,50,35,115,95,95,90,85,100,95,125,85
0,65,50,35,115,95,95,160,110,65,65,110,30
0,65,50,35,115,95,95,80,105,65,60,75,130
0,65,50,35,115,95,95,60,115,105,65,70,80
1,65,50,35,115,95,95,30,80,90,55,45,55
0,65,50,35,115,95,95,70,60,125,115,70,55
1,65,50,35,115,95,95,35,40,100,90,55,35
1,65,50,35,115,95,95,65,60,70,85,75,40
0,65,50,35,115,95,95,65,130,60,95,110,65
0,65,50,35,115,95,95,65,65,60,110,95,130
0,65,50,35,115,95,95,130,65,60,110,95,65
1,65,50,35,115,95,95,55,55,50,45,65,55
1,65,50,35,115,95,95,48,48,48,48,48,48
0,65,50,35,115,95,95,130,85,80,85,95,60
0,65,50,35,115,95,95,95,125,79,60,100,81
1,65,50,35,115,95,95,20,10,55,15,20,80
0,65,50,35,115,95,95,75,100,95,40,70,110
0,65,50,35,115,95,95,65,125,100,55,70,85
0,65,50,35,115,95,95,65,95,57,100,85,93
0,65,50,35,115,95,95,65,83,57,95,85,105
0,70,110,80,55,80,105,100,100,100,100,100,100
0,70,110,80,55,80,105,106,110,90,154,90,130
0,70,110,80,55,80,105,91,134,95,100,100,80
1,70,110,80,55,80,105,61,84,65,70,70,70
1,70,110,80,55,80,105,41,64,45,50,50,50
0,70,110,80,55,80,105,90,100,90,125,85,90
0,70,110,80,55,80,105,90,90,85,125,90,100
0,70,110,80,55,80,105,90,85,100,95,125,85
0,70,110,80,55,80,105,160,110,65,65,110,30
0,70,110,80,55,80,105,80,105,65,60,75,130
1,70,110,80,55,80,105,60,115,105,65,70,80
1,70,110,80,55,80,105,30,80,90,55,45,55
1,70,110,80,55,80,105,70,60,125,115,70,55
1,70,110,80,55,80,105,35,40,100,90,55,35
1,70,110,80,55,80,105,65,60,70,85,75,40
0,70,110,80,55,80,105,65,130,60,95,110,65
0,70,110,80,55,80,105,65,65,60,110,95,130
0,70,110,80,55,80,105,130,65,60,110,95,65
1,70,110,80,55,80,105,55,55,50,45,65,55
1,70,110,80,55,80,105,48,48,48,48,48,48
0,70,110,80,55,80,105,130,85,80,85,95,60
0,70,110,80,55,80,105,95,125,79,60,100,81
1,70,110,80,55,80,105,20,10,55,15,20,80
1,70,110,80,55,80,105,75,100,95,40,70,110
0,70,110,80,55,80,105,65,125,100,55,70,85
1,70,110,80,55,80,105,65,95,57,100,85,93
1,70,110,80,55,80,105,65,83,57,95,85,105
1,70,110,80,55,80,105,65,50,35,115,95,95
0,40,45,65,100,120,90,100,100,100,100,100,100
0,40,45,65,100,120,90,106,110,90,154,90,130
0,40,45,65,100,120,90,91,134,95,100,100,80
1,40,45,65,100,120,90,61,84,65,70,70,70
1,40,45,65,100,120,90,41,64,45,50,50,50
0,40,45,65,100,120,90,90,100,90,125,85,90
0,40,45,65,100,120,90,90,90,85,125,90,100
0,40,45,65,100,120,90,90,85,100,95,125,85
0,40,45,65,100,120,90,160,110,65,65,110,30
0,40,45,65,100,120,90,80,105,65,60,75,130
0,40,45,65,100,120,90,60,115,105,65,70,80
1,40,45,65,100,120,90,30,80,90,55,45,55
0,40,45,65,100,120,90,70,60,125,115,70,55
1,40,45,65,100,120,90,35,40,100,90,55,35
1,40,45,65,100,120,90,65,60,70,85,75,40
0,40,45,65,100,120,90,65,130,60,95,110,65
0,40,45,65,100,120,90,65,65,60,110,95,130
0,40,45,65,100,120,90,130,65,60,110,95,65
1,40,45,65,100,120,90,55,55,50,45,65,55
1,40,45,65,100,120,90,48,48,48,48,48,48
0,40,45,65,100,120,90,130,85,80,85,95,60
0,40,45,65,100,120,90,95,125,79,60,100,81
1,40,45,65,100,120,90,20,10,55,15,20,80
0,40,45,65,100,120,90,75,100,95,40,70,110
0,40,45,65,100,120,90,65,125,100,55,70,85
0,40,45,65,100,120,90,65,95,57,100,85,93
0,40,45,65,100,120,90,65,83,57,95,85,105
1,40,45,65,100,120,90,65,50,35,115,95,95
0,40,45,65,100,120,90,70,110,80,55,80,105
0,60,75,85,100,85,115,100,100,100,100,100,100
0,60,75,85,100,85,115,106,110,90,154,90,130
0,60,75,85,100,85,115,91,134,95,100,100,80
1,60,75,85,100,85,115,61,84,65,70,70,70
1,60,75,85,100,85,115,41,64,45,50,50,50
0,60,75,85,100,85,115,90,100,90,125,85,90
0,60,75,85,100,85,115,90,90,85,125,90,100
0,60,75,85,100,85,115,90,85,100,95,125,85
0,60,75,85,100,85,115,160,110,65,65,110,30
1,60,75,85,100,85,115,80,105,65,60,75,130
1,60,75,85,100,85,115,60,115,105,65,70,80
1,60,75,85,100,85,115,30,80,90,55,45,55
1,60,75,85,100,85,115,70,60,125,115,70,55
1,60,75,85,100,85,115,35,40,100,90,55,35
1,60,75,85,100,85,115,65,60,70,85,75,40
0,60,75,85,100,85,115,65,130,60,95,110,65
0,60,75,85,100,85,115,65,65,60,110,95,130
0,60,75,85,100,85,115,130,65,60,110,95,65
1,60,75,85,100,85,115,55,55,50,45,65,55
1,60,75,85,100,85,115,48,48,48,48,48,48
0,60,75,85,100,85,115,130,85,80,85,95,60
0,60,75,85,100,85,115,95,125,79,60,100,81
1,60,75,85,100,85,115,20,10,55,15,20,80
1,60,75,85,100,85,115,75,100,95,40,70,110
1,60,75,85,100,85,115,65,125,100,55,70,85
1,60,75,85,100,85,115,65,95,57,100,85,93
1,60,75,85,100,85,115,65,83,57,95,85,105
1,60,75,85,100,85,115,65,50,35,115,95,95
1,60,75,85,100,85,115,70,110,80,55,80,105
1,60,75,85,100,85,115,40,45,65,100,120,90
0,30,45,55,70,55,85,100,100,100,100,100,100
0,30,45,55,70,55,85,106,110,90,154,90,130
0,30,45,55,70,55,85,91,134,95,100,100,80
0,30,45,55,70,55,85,61,84,65,70,70,70
1,30,45,55,70,55,85,41,64,45,50,50,50
0,30,45,55,70,55,85,90,100,90,125,85,90
0,30,45,55,70,55,85,90,90,85,125,90,100
0,30,45,55,70,55,85,90,85,100,95,125,85
0,30,45,55,70,55,85,160,110,65,65,110,30
0,30,45,55,70,55,85,80,105,65,60,75,130
0,30,45,55,70,55,85,60,115,105,65,70,80
0,30,45,55,70,55,85,30,80,90,55,45,55
0,30,45,55,70,55,85,70,60,125,115,70,55
0,30,45,55,70,55,85,35,40,100,90,55,35
0,30,45,55,70,55,85,65,60,70,85,75,40
0,30,45,55,70,55,85,65,130,60,95,110,65
0,30,45,55,70,55,85,65,65,60,110,95,130
0,30,45,55,70,55,85,130,65,60,110,95,65
1,30,45,55,70,55,85,55,55,50,45,65,55
1,30,45,55,70,55,85,48,48,48,48,48,48
0,30,45,55,70,55,85,130,85,80,85,95,60
0,30,45,55,70,55,85,95,125,79,60,100,81
1,30,45,55,70,55,85,20,10,55,15,20,80
0,30,45,55,70,55,85,75,100,95,40,70,110
0,30,45,55,70,55,85,65,125,100,55,70,85
0,30,45,55,70,55,85,65,95,57,100,85,93
0,30,45,55,70,55,85,65,83,57,95,85,105
0,30,45,55,70,55,85,65,50,35,115,95,95
0,30,45,55,70,55,85,70,110,80,55,80,105
0,30,45,55,70,55,85,40,45,65,100,120,90
0,30,45,55,70,55,85,60,75,85,100,85,115
0,80,92,65,65,80,68,100,100,100,100,100,100
0,80,92,65,65,80,68,106,110,90,154,90,130
0,80,92,65,65,80,68,91,134,95,100,100,80
1,80,92,65,65,80,68,61,84,65,70,70,70
1,80,92,65,65,80,68,41,64,45,50,50,50
0,80,92,65,65,80,68,90,100,90,125,85,90
0,80,92,65,65,80,68,90,90,85,125,90,100
0,80,92,65,65,80,68,90,85,100,95,125,85
0,80,92,65,65,80,68,160,110,65,65,110,30
0,80,92,65,65,80,68,80,105,65,60,75,130
0,80,92,65,65,80,68,60,115,105,65,70,80
1,80,92,65,65,80,68,30,80,90,55,45,55
0,80,92,65,65,80,68,70,60,125,115,70,55
1,80,92,65,65,80,68,35,40,100,90,55,35
1,80,92,65,65,80,68,65,60,70,85,75,40
0,80,92,65,65,80,68,65,130,60,95,110,65
0,80,92,65,65,80,68,65,65,60,110,95,130
0,80,92,65,65,80,68,130,65,60,110,95,65
1,80,92,65,65,80,68,55,55,50,45,65,55
1,80,92,65,65,80,68,48,48,48,48,48,48
0,80,92,65,65,80,68,130,85,80,85,95,60
0,80,92,65,65,80,68,95,125,79,60,100,81
1,80,92,65,65,80,68,20,10,55,15,20,80
0,80,92,65,65,80,68,75,100,95,40,70,110
0,80,92,65,65,80,68,65,125,100,55,70,85
0,80,92,65,65,80,68,65,95,57,100,85,93
0,80,92,65,65,80,68,65,83,57,95,85,105
0,80,92,65,65,80,68,65,50,35,115,95,95
0,80,92,65,65,80,68,70,110,80,55,80,105
0,80,92,65,65,80,68,40,45,65,100,120,90
0,80,92,65,65,80,68,60,75,85,100,85,115
