Did_Poke1_Win,Poke_1_HP,Poke_1_Attack,Poke_1_Defense,Poke_1_Sp_Attack,Poke_1_Sp_Defense,Poke_1_Speed,Poke_1_Type_1,Poke_1_Type_2,Poke_2_HP,Poke_2_Attack,Poke_2_Defense,Poke_2_Sp_Attack,Poke_2_Sp_Defense,Poke_2_Speed,Poke_1_Type_1,Poke_2_Type_2
1,80,105,65,60,75,130,rock,flying,160,110,65,65,110,30,normal,noType
0,60,115,105,65,70,80,rock,water,100,100,100,100,100,100,psychic,noType
0,60,115,105,65,70,80,rock,water,106,110,90,154,90,130,psychic,noType
1,60,115,105,65,70,80,rock,water,91,134,95,100,100,80,dragon,flying
1,60,115,105,65,70,80,rock,water,61,84,65,70,70,70,dragon,noType
1,60,115,105,65,70,80,rock,water,41,64,45,50,50,50,dragon,noType
1,60,115,105,65,70,80,rock,water,90,100,90,125,85,90,fire,flying
0,60,115,105,65,70,80,rock,water,90,90,85,125,90,100,electric,flying
1,60,115,105,65,70,80,rock,water,90,85,100,95,125,85,ice,flying
1,60,115,105,65,70,80,rock,water,160,110,65,65,110,30,normal,noType
1,60,115,105,65,70,80,rock,water,80,105,65,60,75,130,rock,flying
0,30,80,90,55,45,55,rock,water,100,100,100,100,100,100,psychic,noType
0,30,80,90,55,45,55,rock,water,106,110,90,154,90,130,psychic,noType
1,30,80,90,55,45,55,rock,water,91,134,95,100,100,80,dragon,flying
0,30,80,90,55,45,55,rock,water,61,84,65,70,70,70,dragon,noType
1,30,80,90,55,45,55,rock,water,41,64,45,50,50,50,dragon,noType
1,30,80,90,55,45,55,rock,water,90,100,90,125,85,90,fire,flying
0,30,80,90,55,45,55,rock,water,90,90,85,125,90,100,electric,flying
1,30,80,90,55,45,55,rock,water,90,85,100,95,125,85,ice,flying
1,30,80,90,55,45,55,rock,water,160,110,65,65,110,30,normal,noType
1,30,80,90,55,45,55,rock,water,80,105,65,60,75,130,rock,flying
0,30,80,90,55,45,55,rock,water,60,115,105,65,70,80,rock,water
0,70,60,125,115,70,55,rock,water,100,100,100,100,100,100,psychic,noType
0,70,60,125,115,70,55,rock,water,106,110,90,154,90,130,psychic,noType
1,70,60,125,115,70,55,rock,water,91,134,95,100,100,80,dragon,flying
1,70,60,125,115,70,55,rock,water,61,84,65,70,70,70,dragon,noType
1,70,60,125,115,70,55,rock,water,41,64,45,50,50,50,dragon,noType
1,70,60,125,115,70,55,rock,water,90,100,90,125,85,90,fire,flying
0,70,60,125,115,70,55,rock,water,90,90,85,125,90,100,electric,flying
1,70,60,125,115,70,55,rock,water,90,85,100,95,125,85,ice,flying
1,70,60,125,115,70,55,rock,water,160,110,65,65,110,30,normal,noType
1,70,60,125,115,70,55,rock,water,80,105,65,60,75,130,rock,flying
0,70,60,125,115,70,55,rock,water,60,115,105,65,70,80,rock,water
1,70,60,125,115,70,55,rock,water,30,80,90,55,45,55,rock,water
0,35,40,100,90,55,35,rock,water,100,100,100,100,100,100,psychic,noType
0,35,40,100,90,55,35,rock,water,106,110,90,154,90,130,psychic,noType
1,35,40,100,90,55,35,rock,water,91,134,95,100,100,80,dragon,flying
0,35,40,100,90,55,35,rock,water,61,84,65,70,70,70,dragon,noType
1,35,40,100,90,55,35,rock,water,41,64,45,50,50,50,dragon,noType
1,35,40,100,90,55,35,rock,water,90,100,90,125,85,90,fire,flying
0,35,40,100,90,55,35,rock,water,90,90,85,125,90,100,electric,flying
1,35,40,100,90,55,35,rock,water,90,85,100,95,125,85,ice,flying
1,35,40,100,90,55,35,rock,water,160,110,65,65,110,30,normal,noType
1,35,40,100,90,55,35,rock,water,80,105,65,60,75,130,rock,flying
0,35,40,100,90,55,35,rock,water,60,115,105,65,70,80,rock,water
0,35,40,100,90,55,35,rock,water,30,80,90,55,45,55,rock,water
0,35,40,100,90,55,35,rock,water,70,60,125,115,70,55,rock,water
0,65,60,70,85,75,40,normal,noType,100,100,100,100,100,100,psychic,noType
0,65,60,70,85,75,40,normal,noType,106,110,90,154,90,130,psychic,noType
0,65,60,70,85,75,40,normal,noType,91,134,95,100,100,80,dragon,flying
0,65,60,70,85,75,40,normal,noType,61,84,65,70,70,70,dragon,noType
1,65,60,70,85,75,40,normal,noType,41,64,45,50,50,50,dragon,noType
0,65,60,70,85,75,40,normal,noType,90,100,90,125,85,90,fire,flying
0,65,60,70,85,75,40,normal,noType,90,90,85,125,90,100,electric,flying
0,65,60,70,85,75,40,normal,noType,90,85,100,95,125,85,ice,flying
0,65,60,70,85,75,40,normal,noType,160,110,65,65,110,30,normal,noType
0,65,60,70,85,75,40,normal,noType,80,105,65,60,75,130,rock,flying
0,65,60,70,85,75,40,normal,noType,60,115,105,65,70,80,rock,water
0,65,60,70,85,75,40,normal,noType,30,80,90,55,45,55,rock,water
0,65,60,70,85,75,40,normal,noType,70,60,125,115,70,55,rock,water
0,65,60,70,85,75,40,normal,noType,35,40,100,90,55,35,rock,water
0,65,130,60,95,110,65,fire,noType,100,100,100,100,100,100,psychic,noType
0,65,130,60,95,110,65,fire,noType,106,110,90,154,90,130,psychic,noType
0,65,130,60,95,110,65,fire,noType,91,134,95,100,100,80,dragon,flying
0,65,130,60,95,110,65,fire,noType,61,84,65,70,70,70,dragon,noType
0,65,130,60,95,110,65,fire,noType,41,64,45,50,50,50,dragon,noType
0,65,130,60,95,110,65,fire,noType,90,100,90,125,85,90,fire,flying
0,65,130,60,95,110,65,fire,noType,90,90,85,125,90,100,electric,flying
1,65,130,60,95,110,65,fire,noType,90,85,100,95,125,85,ice,flying
0,65,130,60,95,110,65,fire,noType,160,110,65,65,110,30,normal,noType
0,65,130,60,95,110,65,fire,noType,80,105,65,60,75,130,rock,flying
0,65,130,60,95,110,65,fire,noType,60,115,105,65,70,80,rock,water
0,65,130,60,95,110,65,fire,noType,30,80,90,55,45,55,rock,water
0,65,130,60,95,110,65,fire,noType,70,60,125,115,70,55,rock,water
0,65,130,60,95,110,65,fire,noType,35,40,100,90,55,35,rock,water
1,65,130,60,95,110,65,fire,noType,65,60,70,85,75,40,normal,noType
0,65,65,60,110,95,130,electric,noType,100,100,100,100,100,100,psychic,noType
0,65,65,60,110,95,130,electric,noType,106,110,90,154,90,130,psychic,noType
0,65,65,60,110,95,130,electric,noType,91,134,95,100,100,80,dragon,flying
0,65,65,60,110,95,130,electric,noType,61,84,65,70,70,70,dragon,noType
0,65,65,60,110,95,130,electric,noType,41,64,45,50,50,50,dragon,noType
1,65,65,60,110,95,130,electric,noType,90,100,90,125,85,90,fire,flying
1,65,65,60,110,95,130,electric,noType,90,90,85,125,90,100,electric,flying
1,65,65,60,110,95,130,electric,noType,90,85,100,95,125,85,ice,flying
0,65,65,60,110,95,130,electric,noType,160,110,65,65,110,30,normal,noType
1,65,65,60,110,95,130,electric,noType,80,105,65,60,75,130,rock,flying
1,65,65,60,110,95,130,electric,noType,60,115,105,65,70,80,rock,water
1,65,65,60,110,95,130,electric,noType,30,80,90,55,45,55,rock,water
1,65,65,60,110,95,130,electric,noType,70,60,125,115,70,55,rock,water
1,65,65,60,110,95,130,electric,noType,35,40,100,90,55,35,rock,water
1,65,65,60,110,95,130,electric,noType,65,60,70,85,75,40,normal,noType
0,65,65,60,110,95,130,electric,noType,65,130,60,95,110,65,fire,noType
0,130,65,60,110,95,65,water,noType,100,100,100,100,100,100,psychic,noType
0,130,65,60,110,95,65,water,noType,106,110,90,154,90,130,psychic,noType
0,130,65,60,110,95,65,water,noType,91,134,95,100,100,80,dragon,flying
0,130,65,60,110,95,65,water,noType,61,84,65,70,70,70,dragon,noType
0,130,65,60,110,95,65,water,noType,41,64,45,50,50,50,dragon,noType
1,130,65,60,110,95,65,water,noType,90,100,90,125,85,90,fire,flying
0,130,65,60,110,95,65,water,noType,90,90,85,125,90,100,electric,flying
0,130,65,60,110,95,65,water,noType,90,85,100,95,125,85,ice,flying
0,130,65,60,110,95,65,water,noType,160,110,65,65,110,30,normal,noType
1,130,65,60,110,95,65,water,noType,80,105,65,60,75,130,rock,flying
1,130,65,60,110,95,65,water,noType,60,115,105,65,70,80,rock,water
1,130,65,60,110,95,65,water,noType,30,80,90,55,45,55,rock,water
1,130,65,60,110,95,65,water,noType,70,60,125,115,70,55,rock,water
1,130,65,60,110,95,65,water,noType,35,40,100,90,55,35,rock,water
1,130,65,60,110,95,65,water,noType,65,60,70,85,75,40,normal,noType
1,130,65,60,110,95,65,water,noType,65,130,60,95,110,65,fire,noType
0,130,65,60,110,95,65,water,noType,65,65,60,110,95,130,electric,noType
0,55,55,50,45,65,55,normal,noType,100,100,100,100,100,100,psychic,noType
0,55,55,50,45,65,55,normal,noType,106,110,90,154,90,130,psychic,noType
0,55,55,50,45,65,55,normal,noType,91,134,95,100,100,80,dragon,flying
0,55,55,50,45,65,55,normal,noType,61,84,65,70,70,70,dragon,noType
1,55,55,50,45,65,55,normal,noType,41,64,45,50,50,50,dragon,noType
0,55,55,50,45,65,55,normal,noType,90,100,90,125,85,90,fire,flying
0,55,55,50,45,65,55,normal,noType,90,90,85,125,90,100,electric,flying
0,55,55,50,45,65,55,normal,noType,90,85,100,95,125,85,ice,flying
0,55,55,50,45,65,55,normal,noType,160,110,65,65,110,30,normal,noType
0,55,55,50,45,65,55,normal,noType,80,105,65,60,75,130,rock,flying
0,55,55,50,45,65,55,normal,noType,60,115,105,65,70,80,rock,water
0,55,55,50,45,65,55,normal,noType,30,80,90,55,45,55,rock,water
0,55,55,50,45,65,55,normal,noType,70,60,125,115,70,55,rock,water
0,55,55,50,45,65,55,normal,noType,35,40,100,90,55,35,rock,water
0,55,55,50,45,65,55,normal,noType,65,60,70,85,75,40,normal,noType
0,55,55,50,45,65,55,normal,noType,65,130,60,95,110,65,fire,noType
0,55,55,50,45,65,55,normal,noType,65,65,60,110,95,130,electric,noType
0,55,55,50,45,65,55,normal,noType,130,65,60,110,95,65,water,noType
0,48,48,48,48,48,48,normal,noType,100,100,100,100,100,100,psychic,noType
0,48,48,48,48,48,48,normal,noType,106,110,90,154,90,130,psychic,noType
0,48,48,48,48,48,48,normal,noType,91,134,95,100,100,80,dragon,flying
0,48,48,48,48,48,48,normal,noType,61,84,65,70,70,70,dragon,noType
0,48,48,48,48,48,48,normal,noType,41,64,45,50,50,50,dragon,noType
0,48,48,48,48,48,48,normal,noType,90,100,90,125,85,90,fire,flying
0,48,48,48,48,48,48,normal,noType,90,90,85,125,90,100,electric,flying
0,48,48,48,48,48,48,normal,noType,90,85,100,95,125,85,ice,flying
0,48,48,48,48,48,48,normal,noType,160,110,65,65,110,30,normal,noType
0,48,48,48,48,48,48,normal,noType,80,105,65,60,75,130,rock,flying
0,48,48,48,48,48,48,normal,noType,60,115,105,65,70,80,rock,water
0,48,48,48,48,48,48,normal,noType,30,80,90,55,45,55,rock,water
0,48,48,48,48,48,48,normal,noType,70,60,125,115,70,55,rock,water
0,48,48,48,48,48,48,normal,noType,35,40,100,90,55,35,rock,water
0,48,48,48,48,48,48,normal,noType,65,60,70,85,75,40,normal,noType
0,48,48,48,48,48,48,normal,noType,65,130,60,95,110,65,fire,noType
0,48,48,48,48,48,48,normal,noType,65,65,60,110,95,130,electric,noType
0,48,48,48,48,48,48,normal,noType,130,65,60,110,95,65,water,noType
0,48,48,48,48,48,48,normal,noType,55,55,50,45,65,55,normal,noType
0,130,85,80,85,95,60,water,ice,100,100,100,100,100,100,psychic,noType
0,130,85,80,85,95,60,water,ice,106,110,90,154,90,130,psychic,noType
1,130,85,80,85,95,60,water,ice,91,134,95,100,100,80,dragon,flying
1,130,85,80,85,95,60,water,ice,61,84,65,70,70,70,dragon,noType
1,130,85,80,85,95,60,water,ice,41,64,45,50,50,50,dragon,noType
1,130,85,80,85,95,60,water,ice,90,100,90,125,85,90,fire,flying
0,130,85,80,85,95,60,water,ice,90,90,85,125,90,100,electric,flying
0,130,85,80,85,95,60,water,ice,90,85,100,95,125,85,ice,flying
0,130,85,80,85,95,60,water,ice,160,110,65,65,110,30,normal,noType
1,130,85,80,85,95,60,water,ice,80,105,65,60,75,130,rock,flying
0,130,85,80,85,95,60,water,ice,60,115,105,65,70,80,rock,water
0,130,85,80,85,95,60,water,ice,30,80,90,55,45,55,rock,water
0,130,85,80,85,95,60,water,ice,70,60,125,115,70,55,rock,water
0,130,85,80,85,95,60,water,ice,35,40,100,90,55,35,rock,water
1,130,85,80,85,95,60,water,ice,65,60,70,85,75,40,normal,noType
1,130,85,80,85,95,60,water,ice,65,130,60,95,110,65,fire,noType
0,130,85,80,85,95,60,water,ice,65,65,60,110,95,130,electric,noType
1,130,85,80,85,95,60,water,ice,130,65,60,110,95,65,water,noType
1,130,85,80,85,95,60,water,ice,55,55,50,45,65,55,normal,noType
1,130,85,80,85,95,60,water,ice,48,48,48,48,48,48,normal,noType
0,95,125,79,60,100,81,water,flying,100,100,100,100,100,100,psychic,noType
0,95,125,79,60,100,81,water,flying,106,110,90,154,90,130,psychic,noType
0,95,125,79,60,100,81,water,flying,91,134,95,100,100,80,dragon,flying
1,95,125,79,60,100,81,water,flying,61,84,65,70,70,70,dragon,noType
1,95,125,79,60,100,81,water,flying,41,64,45,50,50,50,dragon,noType
1,95,125,79,60,100,81,water,flying,90,100,90,125,85,90,fire,flying
0,95,125,79,60,100,81,water,flying,90,90,85,125,90,100,electric,flying
0,95,125,79,60,100,81,water,flying,90,85,100,95,125,85,ice,flying
0,95,125,79,60,100,81,water,flying,160,110,65,65,110,30,normal,noType
1,95,125,79,60,100,81,water,flying,80,105,65,60,75,130,rock,flying
0,95,125,79,60,100,81,water,flying,60,115,105,65,70,80,rock,water
0,95,125,79,60,100,81,water,flying,30,80,90,55,45,55,rock,water
0,95,125,79,60,100,81,water,flying,70,60,125,115,70,55,rock,water
0,95,125,79,60,100,81,water,flying,35,40,100,90,55,35,rock,water
1,95,125,79,60,100,81,water,flying,65,60,70,85,75,40,normal,noType
1,95,125,79,60,100,81,water,flying,65,130,60,95,110,65,fire,noType
0,95,125,79,60,100,81,water,flying,65,65,60,110,95,130,electric,noType
1,95,125,79,60,100,81,water,flying,130,65,60,110,95,65,water,noType
1,95,125,79,60,100,81,water,flying,55,55,50,45,65,55,normal,noType
1,95,125,79,60,100,81,water,flying,48,48,48,48,48,48,normal,noType
1,95,125,79,60,100,81,water,flying,130,85,80,85,95,60,water,ice
0,20,10,55,15,20,80,water,noType,100,100,100,100,100,100,psychic,noType
0,20,10,55,15,20,80,water,noType,106,110,90,154,90,130,psychic,noType
0,20,10,55,15,20,80,water,noType,91,134,95,100,100,80,dragon,flying
0,20,10,55,15,20,80,water,noType,61,84,65,70,70,70,dragon,noType
0,20,10,55,15,20,80,water,noType,41,64,45,50,50,50,dragon,noType
0,20,10,55,15,20,80,water,noType,90,100,90,125,85,90,fire,flying
0,20,10,55,15,20,80,water,noType,90,90,85,125,90,100,electric,flying
0,20,10,55,15,20,80,water,noType,90,85,100,95,125,85,ice,flying
0,20,10,55,15,20,80,water,noType,160,110,65,65,110,30,normal,noType
0,20,10,55,15,20,80,water,noType,80,105,65,60,75,130,rock,flying
0,20,10,55,15,20,80,water,noType,60,115,105,65,70,80,rock,water
0,20,10,55,15,20,80,water,noType,30,80,90,55,45,55,rock,water
0,20,10,55,15,20,80,water,noType,70,60,125,115,70,55,rock,water
0,20,10,55,15,20,80,water,noType,35,40,100,90,55,35,rock,water
0,20,10,55,15,20,80,water,noType,65,60,70,85,75,40,normal,noType
1,20,10,55,15,20,80,water,noType,65,130,60,95,110,65,fire,noType
0,20,10,55,15,20,80,water,noType,65,65,60,110,95,130,electric,noType
0,20,10,55,15,20,80,water,noType,130,65,60,110,95,65,water,noType
0,20,10,55,15,20,80,water,noType,55,55,50,45,65,55,normal,noType
0,20,10,55,15,20,80,water,noType,48,48,48,48,48,48,normal,noType
0,20,10,55,15,20,80,water,noType,130,85,80,85,95,60,water,ice
0,20,10,55,15,20,80,water,noType,95,125,79,60,100,81,water,flying
0,75,100,95,40,70,110,normal,noType,100,100,100,100,100,100,psychic,noType
0,75,100,95,40,70,110,normal,noType,106,110,90,154,90,130,psychic,noType
0,75,100,95,40,70,110,normal,noType,91,134,95,100,100,80,dragon,flying
1,75,100,95,40,70,110,normal,noType,61,84,65,70,70,70,dragon,noType
1,75,100,95,40,70,110,normal,noType,41,64,45,50,50,50,dragon,noType
0,75,100,95,40,70,110,normal,noType,90,100,90,125,85,90,fire,flying
0,75,100,95,40,70,110,normal,noType,90,90,85,125,90,100,electric,flying
0,75,100,95,40,70,110,normal,noType,90,85,100,95,125,85,ice,flying
0,75,100,95,40,70,110,normal,noType,160,110,65,65,110,30,normal,noType
0,75,100,95,40,70,110,normal,noType,80,105,65,60,75,130,rock,flying
0,75,100,95,40,70,110,normal,noType,60,115,105,65,70,80,rock,water
0,75,100,95,40,70,110,normal,noType,30,80,90,55,45,55,rock,water
0,75,100,95,40,70,110,normal,noType,70,60,125,115,70,55,rock,water
0,75,100,95,40,70,110,normal,noType,35,40,100,90,55,35,rock,water
1,75,100,95,40,70,110,normal,noType,65,60,70,85,75,40,normal,noType
0,75,100,95,40,70,110,normal,noType,65,130,60,95,110,65,fire,noType
0,75,100,95,40,70,110,normal,noType,65,65,60,110,95,130,electric,noType
0,75,100,95,40,70,110,normal,noType,130,65,60,110,95,65,water,noType
1,75,100,95,40,70,110,normal,noType,55,55,50,45,65,55,normal,noType
1,75,100,95,40,70,110,normal,noType,48,48,48,48,48,48,normal,noType
0,75,100,95,40,70,110,normal,noType,130,85,80,85,95,60,water,ice
0,75,100,95,40,70,110,normal,noType,95,125,79,60,100,81,water,flying
1,75,100,95,40,70,110,normal,noType,20,10,55,15,20,80,water,noType
1,65,125,100,55,70,85,bug,noType,100,100,100,100,100,100,psychic,noType
1,65,125,100,55,70,85,bug,noType,106,110,90,154,90,130,psychic,noType
0,65,125,100,55,70,85,bug,noType,91,134,95,100,100,80,dragon,flying
1,65,125,100,55,70,85,bug,noType,61,84,65,70,70,70,dragon,noType
1,65,125,100,55,70,85,bug,noType,41,64,45,50,50,50,dragon,noType
0,65,125,100,55,70,85,bug,noType,90,100,90,125,85,90,fire,flying
0,65,125,100,55,70,85,bug,noType,90,90,85,125,90,100,electric,flying
0,65,125,100,55,70,85,bug,noType,90,85,100,95,125,85,ice,flying
0,65,125,100,55,70,85,bug,noType,160,110,65,65,110,30,normal,noType
0,65,125,100,55,70,85,bug,noType,80,105,65,60,75,130,rock,flying
0,65,125,100,55,70,85,bug,noType,60,115,105,65,70,80,rock,water
0,65,125,100,55,70,85,bug,noType,30,80,90,55,45,55,rock,water
0,65,125,100,55,70,85,bug,noType,70,60,125,115,70,55,rock,water
0,65,125,100,55,70,85,bug,noType,35,40,100,90,55,35,rock,water
1,65,125,100,55,70,85,bug,noType,65,60,70,85,75,40,normal,noType
0,65,125,100,55,70,85,bug,noType,65,130,60,95,110,65,fire,noType
0,65,125,100,55,70,85,bug,noType,65,65,60,110,95,130,electric,noType
0,65,125,100,55,70,85,bug,noType,130,65,60,110,95,65,water,noType
1,65,125,100,55,70,85,bug,noType,55,55,50,45,65,55,normal,noType
1,65,125,100,55,70,85,bug,noType,48,48,48,48,48,48,normal,noType
0,65,125,100,55,70,85,bug,noType,130,85,80,85,95,60,water,ice
0,65,125,100,55,70,85,bug,noType,95,125,79,60,100,81,water,flying
1,65,125,100,55,70,85,bug,noType,20,10,55,15,20,80,water,noType
1,65,125,100,55,70,85,bug,noType,75,100,95,40,70,110,normal,noType
0,65,95,57,100,85,93,fire,noType,100,100,100,100,100,100,psychic,noType
0,65,95,57,100,85,93,fire,noType,106,110,90,154,90,130,psychic,noType
0,65,95,57,100,85,93,fire,noType,91,134,95,100,100,80,dragon,flying
0,65,95,57,100,85,93,fire,noType,61,84,65,70,70,70,dragon,noType
0,65,95,57,100,85,93,fire,noType,41,64,45,50,50,50,dragon,noType
0,65,95,57,100,85,93,fire,noType,90,100,90,125,85,90,fire,flying
0,65,95,57,100,85,93,fire,noType,90,90,85,125,90,100,electric,flying
1,65,95,57,100,85,93,fire,noType,90,85,100,95,125,85,ice,flying
0,65,95,57,100,85,93,fire,noType,160,110,65,65,110,30,normal,noType
0,65,95,57,100,85,93,fire,noType,80,105,65,60,75,130,rock,flying
0,65,95,57,100,85,93,fire,noType,60,115,105,65,70,80,rock,water
0,65,95,57,100,85,93,fire,noType,30,80,90,55,45,55,rock,water
0,65,95,57,100,85,93,fire,noType,70,60,125,115,70,55,rock,water
0,65,95,57,100,85,93,fire,noType,35,40,100,90,55,35,rock,water
1,65,95,57,100,85,93,fire,noType,65,60,70,85,75,40,normal,noType
0,65,95,57,100,85,93,fire,noType,65,130,60,95,110,65,fire,noType
0,65,95,57,100,85,93,fire,noType,65,65,60,110,95,130,electric,noType
0,65,95,57,100,85,93,fire,noType,130,65,60,110,95,65,water,noType
1,65,95,57,100,85,93,fire,noType,55,55,50,45,65,55,normal,noType
1,65,95,57,100,85,93,fire,noType,48,48,48,48,48,48,normal,noType
0,65,95,57,100,85,93,fire,noType,130,85,80,85,95,60,water,ice
0,65,95,57,100,85,93,fire,noType,95,125,79,60,100,81,water,flying
0,65,95,57,100,85,93,fire,noType,20,10,55,15,20,80,water,noType
1,65,95,57,100,85,93,fire,noType,75,100,95,40,70,110,normal,noType
1,65,95,57,100,85,93,fire,noType,65,125,100,55,70,85,bug,noType
0,65,83,57,95,85,105,electric,noType,100,100,100,100,100,100,psychic,noType
0,65,83,57,95,85,105,electric,noType,106,110,90,154,90,130,psychic,noType
0,65,83,57,95,85,105,electric,noType,91,134,95,100,100,80,dragon,flying
0,65,83,57,95,85,105,electric,noType,61,84,65,70,70,70,dragon,noType
0,65,83,57,95,85,105,electric,noType,41,64,45,50,50,50,dragon,noType
1,65,83,57,95,85,105,electric,noType,90,100,90,125,85,90,fire,flying
1,65,83,57,95,85,105,electric,noType,90,90,85,125,90,100,electric,flying
1,65,83,57,95,85,105,electric,noType,90,85,100,95,125,85,ice,flying
0,65,83,57,95,85,105,electric,noType,160,110,65,65,110,30,normal,noType
1,65,83,57,95,85,105,electric,noType,80,105,65,60,75,130,rock,flying
1,65,83,57,95,85,105,electric,noType,60,115,105,65,70,80,rock,water
1,65,83,57,95,85,105,electric,noType,30,80,90,55,45,55,rock,water
1,65,83,57,95,85,105,electric,noType,70,60,125,115,70,55,rock,water
1,65,83,57,95,85,105,electric,noType,35,40,100,90,55,35,rock,water
1,65,83,57,95,85,105,electric,noType,65,60,70,85,75,40,normal,noType
0,65,83,57,95,85,105,electric,noType,65,130,60,95,110,65,fire,noType
0,65,83,57,95,85,105,electric,noType,65,65,60,110,95,130,electric,noType
1,65,83,57,95,85,105,electric,noType,130,65,60,110,95,65,water,noType
1,65,83,57,95,85,105,electric,noType,55,55,50,45,65,55,normal,noType
1,65,83,57,95,85,105,electric,noType,48,48,48,48,48,48,normal,noType
1,65,83,57,95,85,105,electric,noType,130,85,80,85,95,60,water,ice
1,65,83,57,95,85,105,electric,noType,95,125,79,60,100,81,water,flying
1,65,83,57,95,85,105,electric,noType,20,10,55,15,20,80,water,noType
0,65,83,57,95,85,105,electric,noType,75,100,95,40,70,110,normal,noType
0,65,83,57,95,85,105,electric,noType,65,125,100,55,70,85,bug,noType
0,65,83,57,95,85,105,electric,noType,65,95,57,100,85,93,fire,noType
1,65,50,35,115,95,95,ice,psychic,100,100,100,100,100,100,psychic,noType
1,65,50,35,115,95,95,ice,psychic,106,110,90,154,90,130,psychic,noType
1,65,50,35,115,95,95,ice,psychic,91,134,95,100,100,80,dragon,flying
1,65,50,35,115,95,95,ice,psychic,61,84,65,70,70,70,dragon,noType
1,65,50,35,115,95,95,ice,psychic,41,64,45,50,50,50,dragon,noType
0,65,50,35,115,95,95,ice,psychic,90,100,90,125,85,90,fire,flying
1,65,50,35,115,95,95,ice,psychic,90,90,85,125,90,100,electric,flying
0,65,50,35,115,95,95,ice,psychic,90,85,100,95,125,85,ice,flying
0,65,50,35,115,95,95,ice,psychic,160,110,65,65,110,30,normal,noType
