Id,Name,Type_1,Type_2,HP,Attack,Defense,Sp_Attack,Sp_Defense,Speed,Sum_stats,Is_Legendary
85,dodrio,normal,flying,60,110,70,60,60,110,470,False
86,seel,water,,65,45,55,45,70,45,325,False
87,dewgong,water,ice,90,70,80,70,95,70,475,False
88,grimer,poison,,80,80,50,40,50,25,325,False
89,muk,poison,,105,105,75,65,100,50,500,False
90,shellder,water,,30,65,100,45,25,40,305,False
91,cloyster,water,ice,50,95,180,85,45,70,525,False
92,gastly,ghost,poison,30,35,30,100,35,80,310,False
93,haunter,ghost,poison,45,50,45,115,55,95,405,False
94,gengar,ghost,poison,60,65,60,130,75,110,500,False
95,onix,rock,ground,35,45,160,30,45,70,385,False
96,drowzee,psychic,,60,48,45,43,90,42,328,False
97,hypno,psychic,,85,73,70,73,115,67,483,False
98,krabby,water,,30,105,90,25,25,50,325,False
99,kingler,water,,55,130,115,50,50,75,475,False
100,voltorb,electric,,40,30,50,55,55,100,330,False
101,electrode,electric,,60,50,70,80,80,150,490,False
102,exeggcute,grass,psychic,60,40,80,60,45,40,325,False
103,exeggutor,grass,psychic,95,95,85,125,75,55,530,False
104,cubone,ground,,50,50,95,40,50,35,320,False
105,marowak,ground,,60,80,110,50,80,45,425,False
106,hitmonlee,fighting,,50,120,53,35,110,87,455,False
107,hitmonchan,fighting,,50,105,79,35,110,76,455,False
108,lickitung,normal,,90,55,75,60,75,30,385,False
109,koffing,poison,,40,65,95,60,45,35,340,False
110,weezing,poison,,65,90,120,85,70,60,490,False
111,rhyhorn,ground,rock,80,85,95,30,30,25,345,False
112,rhydon,ground,rock,105,130,120,45,45,40,485,False
113,chansey,normal,,250,5,5,35,105,50,450,False
114,tangela,grass,,65,55,115,100,40,60,435,False
115,kangaskhan,normal,,105,95,80,40,80,90,490,False
116,horsea,water,,30,40,70,70,25,60,295,False
117,seadra,water,,55,65,95,95,45,85,440,False
118,goldeen,water,,45,67,60,35,50,63,320,False
119,seaking,water,,80,92,65,65,80,68,450,False
120,staryu,water,,30,45,55,70,55,85,340,False
121,starmie,water,psychic,60,75,85,100,85,115,520,False
122,mr-mime,psychic,fairy,40,45,65,100,120,90,460,False
123,scyther,bug,flying,70,110,80,55,80,105,500,False
124,jynx,ice,psychic,65,50,35,115,95,95,455,False
125,electabuzz,electric,,65,83,57,95,85,105,490,False
126,magmar,fire,,65,95,57,100,85,93,495,False
127,pinsir,bug,,65,125,100,55,70,85,500,False
128,tauros,normal,,75,100,95,40,70,110,490,False
129,magikarp,water,,20,10,55,15,20,80,200,False
130,gyarados,water,flying,95,125,79,60,100,81,540,False
131,lapras,water,ice,130,85,80,85,95,60,535,False
132,ditto,normal,,48,48,48,48,48,48,288,False
133,eevee,normal,,55,55,50,45,65,55,325,False
134,vaporeon,water,,130,65,60,110,95,65,525,False
135,jolteon,electric,,65,65,60,110,95,130,525,False
136,flareon,fire,,65,130,60,95,110,65,525,False
137,porygon,normal,,65,60,70,85,75,40,395,False
138,omanyte,rock,water,35,40,100,90,55,35,355,False
139,omastar,rock,water,70,60,125,115,70,55,495,False
140,kabuto,rock,water,30,80,90,55,45,55,355,False
141,kabutops,rock,water,60,115,105,65,70,80,495,False
142,aerodactyl,rock,flying,80,105,65,60,75,130,515,False
143,snorlax,normal,,160,110,65,65,110,30,540,False
144,articuno,ice,flying,90,85,100,95,125,85,580,True
145,zapdos,electric,flying,90,90,85,125,90,100,580,True
146,moltres,fire,flying,90,100,90,125,85,90,580,True
147,dratini,dragon,,41,64,45,50,50,50,300,False
148,dragonair,dragon,,61,84,65,70,70,70,420,False
149,dragonite,dragon,flying,91,134,95,100,100,80,600,False
150,mewtwo,psychic,,106,110,90,154,90,130,680,True
151,mew,psychic,,100,100,100,100,100,100,600,True
